Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
4.1500e+00,2.4914e+00,1.4934e+00,2.4290e+04,2.4290e+04,-3.6749e-16,1.5532e+00
4.2000e+00,2.5915e+00,1.5533e+00,2.4677e+04,2.4677e+04,-3.6749e-16,1.5532e+00
4.2500e+00,2.6924e+00,1.6138e+00,2.5063e+04,2.5063e+04,-3.6749e-16,1.5532e+00
4.3000e+00,2.7941e+00,1.6748e+00,2.5449e+04,2.5449e+04,-3.6749e-16,1.5532e+00
4.3500e+00,2.8966e+00,1.7362e+00,2.5834e+04,2.5834e+04,-3.6749e-16,1.5532e+00
4.4000e+00,2.9998e+00,1.7981e+00,2.6220e+04,2.6220e+04,-3.6749e-16,1.5532e+00
4.4500e+00,3.1037e+00,1.8604e+00,2.6605e+04,2.6605e+04,-3.6749e-16,1.5532e+00
4.5000e+00,3.2083e+00,1.9231e+00,2.6990e+04,2.6991e+04,-3.6749e-16,1.5532e+00
4.5500e+00,3.3136e+00,1.9861e+00,2.7376e+04,2.7376e+04,-3.6749e-16,1.5532e+00
4.6000e+00,3.4194e+00,2.0496e+00,2.7761e+04,2.7761e+04,-3.6749e-16,1.5532e+00
4.6500e+00,3.5259e+00,2.1134e+00,2.8147e+04,2.8147e+04,-3.6749e-16,1.5532e+00
4.7000e+00,3.6329e+00,2.1776e+00,2.8533e+04,2.8533e+04,-3.6749e-16,1.5532e+00
4.7500e+00,3.7405e+00,2.2421e+00,2.8919e+04,2.8919e+04,-3.6749e-16,1.5532e+00
4.8000e+00,3.8486e+00,2.3069e+00,2.9305e+04,2.9305e+04,-3.6749e-16,1.5532e+00
4.8500e+00,3.9573e+00,2.3720e+00,2.9692e+04,2.9692e+04,-3.6749e-16,1.5532e+00
4.9000e+00,4.0664e+00,2.4374e+00,3.0080e+04,3.0080e+04,-3.6749e-16,1.5532e+00
4.9500e+00,4.1760e+00,2.5031e+00,3.0467e+04,3.0467e+04,-3.6749e-16,1.5532e+00
5.0000e+00,4.2861e+00,2.5691e+00,3.0855e+04,3.0855e+04,-3.6749e-16,1.5532e+00
5.0500e+00,4.3966e+00,2.6353e+00,3.1244e+04,3.1244e+04,-3.6749e-16,1.5532e+00
5.1000e+00,4.5076e+00,2.7019e+00,3.1633e+04,3.1633e+04,-3.6749e-16,1.5532e+00
5.1500e+00,4.6191e+00,2.7687e+00,3.2023e+04,3.2023e+04,-3.6749e-16,1.5532e+00
5.2000e+00,4.7309e+00,2.8357e+00,3.2413e+04,3.2413e+04,-3.6749e-16,1.5532e+00
5.2500e+00,4.8432e+00,2.9030e+00,3.2804e+04,3.2804e+04,-3.6749e-16,1.5532e+00
5.3000e+00,4.9559e+00,2.9706e+00,3.3195e+04,3.3196e+04,-3.6749e-16,1.5532e+00
