Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
1.2150e+01,2.3291e+01,1.3961e+01,9.5520e+04,9.5521e+04,-3.6749e-16,1.5532e+00
1.2200e+01,2.3448e+01,1.4055e+01,9.6045e+04,9.6046e+04,-3.6749e-16,1.5532e+00
1.2250e+01,2.3605e+01,1.4149e+01,9.6571e+04,9.6571e+04,-3.6749e-16,1.5532e+00
1.2300e+01,2.3762e+01,1.4243e+01,9.7097e+04,9.7098e+04,-3.6749e-16,1.5532e+00
1.2350e+01,2.3919e+01,1.4337e+01,9.7625e+04,9.7626e+04,-3.6749e-16,1.5532e+00
1.2400e+01,2.4077e+01,1.4432e+01,9.8154e+04,9.8155e+04,-3.6749e-16,1.5532e+00
1.2450e+01,2.4235e+01,1.4527e+01,9.8684e+04,9.8685e+04,-3.6749e-16,1.5532e+00
1.2500e+01,2.4394e+01,1.4622e+01,9.9215e+04,9.9216e+04,-3.6749e-16,1.5532e+00
1.2550e+01,2.4552e+01,1.4717e+01,9.9748e+04,9.9748e+04,-3.6749e-16,1.5532e+00
1.2600e+01,2.4712e+01,1.4812e+01,1.0028e+05,1.0028e+05,-3.6749e-16,1.5532e+00
1.2650e+01,2.4871e+01,1.4908e+01,1.0082e+05,1.0082e+05,-3.6749e-16,1.5532e+00
1.2700e+01,2.5031e+01,1.5003e+01,1.0135e+05,1.0135e+05,-3.6749e-16,1.5532e+00
1.2750e+01,2.5191e+01,1.5099e+01,1.0189e+05,1.0189e+05,-3.6749e-16,1.5532e+00
1.2800e+01,2.5351e+01,1.5195e+01,1.0243e+05,1.0243e+05,-3.6749e-16,1.5532e+00
1.2850e+01,2.5512e+01,1.5292e+01,1.0296e+05,1.0297e+05,-3.6749e-16,1.5532e+00
1.2900e+01,2.5673e+01,1.5388e+01,1.0351e+05,1.0351e+05,-3.6749e-16,1.5532e+00
1.2950e+01,2.5834e+01,1.5485e+01,1.0405e+05,1.0405e+05,-3.6749e-16,1.5532e+00
1.3000e+01,2.5995e+01,1.5582e+01,1.0459e+05,1.0459e+05,-3.6749e-16,1.5532e+00
1.3050e+01,2.6157e+01,1.5679e+01,1.0513e+05,1.0513e+05,-3.6749e-16,1.5532e+00
1.3100e+01,2.6320e+01,1.5776e+01,1.0568e+05,1.0568e+05,-3.6749e-16,1.5532e+00
1.3150e+01,2.6482e+01,1.5873e+01,1.0622e+05,1.0622e+05,-3.6749e-16,1.5532e+00
1.3200e+01,2.6645e+01,1.5971e+01,1.0677e+05,1.0677e+05,-3.6749e-16,1.5532e+00
1.3250e+01,2.6808e+01,1.6069e+01,1.0732e+05,1.0732e+05,-3.6749e-16,1.5532e+00
1.3300e+01,2.6972e+01,1.6167e+01,1.0787e+05,1.0787e+05,-3.6749e-16,1.5532e+00
1.3350e+01,2.7135e+01,1.6265e+01,1.0842e+05,1.0842e+05,-3.6749e-16,1.5532e+00
1.3400e+01,2.7300e+01,1.6363e+01,1.0897e+05,1.0897e+05,-3.6749e-16,1.5532e+00
1.3450e+01,2.7464e+01,1.6462e+01,1.0952e+05,1.0952e+05,-3.6749e-16,1.5532e+00
1.3500e+01,2.7629e+01,1.6561e+01,1.1007e+05,1.1007e+05,-3.6749e-16,1.5532e+00
1.3550e+01,2.7794e+01,1.6660e+01,1.1063e+05,1.1063e+05,-3.6749e-16,1.5532e+00
1.3600e+01,2.7959e+01,1.6759e+01,1.1118e+05,1.1118e+05,-3.6749e-16,1.5532e+00
1.3650e+01,2.8125e+01,1.6858e+01,1.1174e+05,1.1174e+05,-3.6749e-16,1.5532e+00
1.3700e+01,2.8291e+01,1.6958e+01,1.1230e+05,1.1230e+05,-3.6749e-16,1.5532e+00
1.3750e+01,2.8457e+01,1.7057e+01,1.1286e+05,1.1286e+05,-3.6749e-16,1.5532e+00
1.3800e+01,2.8624e+01,1.7157e+01,1.1342e+05,1.1342e+05,-3.6749e-16,1.5532e+00
1.3850e+01,2.8791e+01,1.7257e+01,1.1398e+05,1.1398e+05,-3.6749e-16,1.5532e+00
1.3900e+01,2.8958e+01,1.7357e+01,1.1454e+05,1.1454e+05,-3.6749e-16,1.5532e+00
1.3950e+01,2.9126e+01,1.7458e+01,1.1510e+05,1.1511e+05,-3.6749e-16,1.5532e+00
1.4000e+01,2.9294e+01,1.7559e+01,1.1567e+05,1.1567e+05,-3.6749e-16,1.5532e+00
1.4050e+01,2.9462e+01,1.7659e+01,1.1624e+05,1.1624e+05,-3.6749e-16,1.5532e+00
1.4100e+01,2.9630e+01,1.7760e+01,1.1680e+05,1.1680e+05,-3.6749e-16,1.5532e+00
1.4150e+01,2.9799e+01,1.7862e+01,1.1737e+05,1.1737e+05,-3.6749e-16,1.5532e+00
1.4200e+01,2.9968e+01,1.7963e+01,1.1794e+05,1.1794e+05,-3.6749e-16,1.5532e+00
1.4250e+01,3.0138e+01,1.8064e+01,1.1851e+05,1.1851e+05,-3.6749e-16,1.5532e+00
1.4300e+01,3.0307e+01,1.8166e+01,1.1908e+05,1.1908e+05,-3.6749e-16,1.5532e+00
1.4350e+01,3.0477e+01,1.8268e+01,1.1965e+05,1.1965e+05,-3.6749e-16,1.5532e+00
1.4400e+01,3.0648e+01,1.8370e+01,1.2023e+05,1.2023e+05,-3.6749e-16,1.5532e+00
1.4450e+01,3.0819e+01,1.8473e+01,1.2080e+05,1.2080e+05,-3.6749e-16,1.5532e+00
1.4500e+01,3.0990e+01,1.8575e+01,1.2138e+05,1.2138e+05,-3.6749e-16,1.5532e+00
1.4550e+01,3.1161e+01,1.8678e+01,1.2195e+05,1.2195e+05,-3.6749e-16,1.5532e+00
1.4600e+01,3.1332e+01,1.8781e+01,1.2253e+05,1.2253e+05,-3.6749e-16,1.5532e+00
1.4650e+01,3.1504e+01,1.8884e+01,1.2311e+05,1.2311e+05,-3.6749e-16,1.5532e+00
1.4700e+01,3.1677e+01,1.8987e+01,1.2369e+05,1.2369e+05,-3.6749e-16,1.5532e+00
1.4750e+01,3.1849e+01,1.9090e+01,1.2427e+05,1.2427e+05,-3.6749e-16,1.5532e+00
1.4800e+01,3.2022e+01,1.9194e+01,1.2486e+05,1.2486e+05,-3.6749e-16,1.5532e+00
1.4850e+01,3.2195e+01,1.9298e+01,1.2544e+05,1.2544e+05,-3.6749e-16,1.5532e+00
1.4900e+01,3.2369e+01,1.9402e+01,1.2602e+05,1.2602e+05,-3.6749e-16,1.5532e+00
1.4950e+01,3.2542e+01,1.9506e+01,1.2661e+05,1.2661e+05,-3.6749e-16,1.5532e+00
1.5000e+01,3.2716e+01,1.9610e+01,1.2720e+05,1.2720e+05,-3.6749e-16,1.5532e+00
1.5050e+01,3.2891e+01,1.9715e+01,1.2778e+05,1.2778e+05,-3.6749e-16,1.5532e+00
1.5100e+01,3.3065e+01,1.9819e+01,1.2837e+05,1.2837e+05,-3.6749e-16,1.5532e+00
1.5150e+01,3.3240e+01,1.9924e+01,1.2896e+05,1.2896e+05,-3.6749e-16,1.5532e+00
1.5200e+01,3.3416e+01,2.0029e+01,1.2955e+05,1.2955e+05,-3.6749e-16,1.5532e+00
1.5250e+01,3.3591e+01,2.0135e+01,1.3015e+05,1.3015e+05,-3.6749e-16,1.5532e+00
1.5300e+01,3.3767e+01,2.0240e+01,1.3074e+05,1.3074e+05,-3.6749e-16,1.5532e+00
1.5350e+01,3.3944e+01,2.0346e+01,1.3133e+05,1.3134e+05,-3.6749e-16,1.5532e+00
1.5400e+01,3.4120e+01,2.0451e+01,1.3193e+05,1.3193e+05,-3.6749e-16,1.5532e+00
1.5450e+01,3.4297e+01,2.0557e+01,1.3253e+05,1.3253e+05,-3.6749e-16,1.5532e+00
1.5500e+01,3.4474e+01,2.0664e+01,1.3312e+05,1.3313e+05,-3.6749e-16,1.5532e+00
1.5550e+01,3.4651e+01,2.0770e+01,1.3372e+05,1.3373e+05,-3.6749e-16,1.5532e+00
1.5600e+01,3.4829e+01,2.0877e+01,1.3432e+05,1.3432e+05,-3.6749e-16,1.5532e+00
1.5650e+01,3.5007e+01,2.0983e+01,1.3493e+05,1.3493e+05,-3.6749e-16,1.5532e+00
1.5700e+01,3.5185e+01,2.1090e+01,1.3553e+05,1.3553e+05,-3.6749e-16,1.5532e+00
1.5750e+01,3.5364e+01,2.1197e+01,1.3613e+05,1.3613e+05,-3.6749e-16,1.5532e+00
1.5800e+01,3.5543e+01,2.1304e+01,1.3674e+05,1.3674e+05,-3.6749e-16,1.5532e+00
1.5850e+01,3.5722e+01,2.1412e+01,1.3734e+05,1.3734e+05,-3.6749e-16,1.5532e+00
1.5900e+01,3.5902e+01,2.1519e+01,1.3795e+05,1.3795e+05,-3.6749e-16,1.5532e+00
1.5950e+01,3.6082e+01,2.1627e+01,1.3856e+05,1.3856e+05,-3.6749e-16,1.5532e+00
1.6000e+01,3.6262e+01,2.1735e+01,1.3916e+05,1.3917e+05,-3.6749e-16,1.5532e+00
1.6050e+01,3.6442e+01,2.1843e+01,1.3977e+05,1.3978e+05,-3.6749e-16,1.5532e+00
1.6100e+01,3.6623e+01,2.1952e+01,1.4039e+05,1.4039e+05,-3.6749e-16,1.5532e+00
1.6150e+01,3.6804e+01,2.2060e+01,1.4100e+05,1.4100e+05,-3.6749e-16,1.5532e+00
1.6200e+01,3.6985e+01,2.2169e+01,1.4161e+05,1.4161e+05,-3.6749e-16,1.5532e+00
1.6250e+01,3.7167e+01,2.2278e+01,1.4222e+05,1.4223e+05,-3.6749e-16,1.5532e+00
1.6300e+01,3.7349e+01,2.2387e+01,1.4284e+05,1.4284e+05,-3.6749e-16,1.5532e+00
1.6350e+01,3.7531e+01,2.2496e+01,1.4346e+05,1.4346e+05,-3.6749e-16,1.5532e+00
1.6400e+01,3.7714e+01,2.2605e+01,1.4407e+05,1.4408e+05,-3.6749e-16,1.5532e+00
1.6450e+01,3.7896e+01,2.2715e+01,1.4469e+05,1.4469e+05,-3.6749e-16,1.5532e+00
1.6500e+01,3.8080e+01,2.2825e+01,1.4531e+05,1.4531e+05,-3.6749e-16,1.5532e+00
1.6550e+01,3.8263e+01,2.2935e+01,1.4593e+05,1.4593e+05,-3.6749e-16,1.5532e+00
1.6600e+01,3.8447e+01,2.3045e+01,1.4656e+05,1.4656e+05,-3.6749e-16,1.5532e+00
1.6650e+01,3.8631e+01,2.3155e+01,1.4718e+05,1.4718e+05,-3.6749e-16,1.5532e+00
1.6700e+01,3.8815e+01,2.3266e+01,1.4780e+05,1.4780e+05,-3.6749e-16,1.5532e+00
1.6750e+01,3.8999e+01,2.3376e+01,1.4843e+05,1.4843e+05,-3.6749e-16,1.5532e+00
1.6800e+01,3.9184e+01,2.3487e+01,1.4906e+05,1.4905e+05,-3.6749e-16,1.5532e+00
1.6850e+01,3.9370e+01,2.3598e+01,1.4968e+05,1.4968e+05,-3.6749e-16,1.5532e+00
1.6900e+01,3.9555e+01,2.3709e+01,1.5031e+05,1.5031e+05,-3.6749e-16,1.5532e+00
1.6950e+01,3.9741e+01,2.3821e+01,1.5094e+05,1.5094e+05,-3.6749e-16,1.5532e+00
1.7000e+01,3.9927e+01,2.3932e+01,1.5157e+05,1.5157e+05,-3.6749e-16,1.5532e+00
1.7050e+01,4.0113e+01,2.4044e+01,1.5220e+05,1.5220e+05,-3.6749e-16,1.5532e+00
1.7100e+01,4.0300e+01,2.4156e+01,1.5284e+05,1.5284e+05,-3.6749e-16,1.5532e+00
1.7150e+01,4.0487e+01,2.4268e+01,1.5347e+05,1.5347e+05,-3.6749e-16,1.5532e+00
1.7200e+01,4.0674e+01,2.4380e+01,1.5410e+05,1.5410e+05,-3.6749e-16,1.5532e+00
1.7250e+01,4.0861e+01,2.4492e+01,1.5474e+05,1.5474e+05,-3.6749e-16,1.5532e+00
1.7300e+01,4.1049e+01,2.4605e+01,1.5538e+05,1.5538e+05,-3.6749e-16,1.5532e+00
1.7350e+01,4.1237e+01,2.4718e+01,1.5602e+05,1.5602e+05,-3.6749e-16,1.5532e+00
1.7400e+01,4.1426e+01,2.4830e+01,1.5666e+05,1.5666e+05,-3.6749e-16,1.5532e+00
1.7450e+01,4.1614e+01,2.4944e+01,1.5730e+05,1.5730e+05,-3.6749e-16,1.5532e+00
1.7500e+01,4.1803e+01,2.5057e+01,1.5794e+05,1.5794e+05,-3.6749e-16,1.5532e+00
1.7550e+01,4.1992e+01,2.5170e+01,1.5858e+05,1.5858e+05,-3.6749e-16,1.5532e+00
1.7600e+01,4.2182e+01,2.5284e+01,1.5922e+05,1.5922e+05,-3.6749e-16,1.5532e+00
1.7650e+01,4.2372e+01,2.5398e+01,1.5987e+05,1.5987e+05,-3.6749e-16,1.5532e+00
1.7700e+01,4.2562e+01,2.5512e+01,1.6051e+05,1.6051e+05,-3.6749e-16,1.5532e+00
1.7750e+01,4.2752e+01,2.5626e+01,1.6116e+05,1.6116e+05,-3.6749e-16,1.5532e+00
1.7800e+01,4.2943e+01,2.5740e+01,1.6181e+05,1.6181e+05,-3.6749e-16,1.5532e+00
1.7850e+01,4.3134e+01,2.5854e+01,1.6246e+05,1.6246e+05,-3.6749e-16,1.5532e+00
1.7900e+01,4.3477e+01,2.6060e+01,1.6297e+05,1.6298e+05,-3.6749e-16,1.5532e+00
1.7950e+01,4.3517e+01,2.6084e+01,1.6376e+05,1.6376e+05,-3.6749e-16,1.5532e+00
1.8000e+01,4.3708e+01,2.6199e+01,1.6441e+05,1.6441e+05,-3.6749e-16,1.5532e+00
1.8050e+01,4.3900e+01,2.6314e+01,1.6506e+05,1.6507e+05,-3.6749e-16,1.5532e+00
1.8100e+01,4.4093e+01,2.6429e+01,1.6572e+05,1.6572e+05,-3.6749e-16,1.5532e+00
1.8150e+01,4.4285e+01,2.6545e+01,1.6637e+05,1.6638e+05,-3.6749e-16,1.5532e+00
1.8200e+01,4.4478e+01,2.6660e+01,1.6703e+05,1.6703e+05,-3.6749e-16,1.5532e+00
1.8250e+01,4.4672e+01,2.6776e+01,1.6769e+05,1.6769e+05,-3.6749e-16,1.5532e+00
1.8300e+01,4.4865e+01,2.6892e+01,1.6835e+05,1.6835e+05,-3.6749e-16,1.5532e+00
1.8350e+01,4.5059e+01,2.7008e+01,1.6901e+05,1.6901e+05,-3.6749e-16,1.5532e+00
1.8400e+01,4.5253e+01,2.7125e+01,1.6967e+05,1.6967e+05,-3.6749e-16,1.5532e+00
1.8450e+01,4.5447e+01,2.7241e+01,1.7033e+05,1.7033e+05,-3.6749e-16,1.5532e+00
1.8500e+01,4.5642e+01,2.7358e+01,1.7099e+05,1.7099e+05,-3.6749e-16,1.5532e+00
1.8550e+01,4.5837e+01,2.7475e+01,1.7166e+05,1.7166e+05,-3.6749e-16,1.5532e+00
1.8600e+01,4.6032e+01,2.7592e+01,1.7232e+05,1.7232e+05,-3.6749e-16,1.5532e+00
1.8650e+01,4.6228e+01,2.7709e+01,1.7299e+05,1.7299e+05,-3.6749e-16,1.5532e+00
1.8700e+01,4.6423e+01,2.7826e+01,1.7365e+05,1.7365e+05,-3.6749e-16,1.5532e+00
1.8750e+01,4.6619e+01,2.7944e+01,1.7432e+05,1.7432e+05,-3.6749e-16,1.5532e+00
1.8800e+01,4.6816e+01,2.8061e+01,1.7499e+05,1.7499e+05,-3.6749e-16,1.5532e+00
1.8850e+01,4.7012e+01,2.8179e+01,1.7566e+05,1.7566e+05,-3.6749e-16,1.5532e+00
1.8900e+01,4.7209e+01,2.8297e+01,1.7633e+05,1.7633e+05,-3.6749e-16,1.5532e+00
1.8950e+01,4.7406e+01,2.8415e+01,1.7700e+05,1.7701e+05,-3.6749e-16,1.5532e+00
1.9000e+01,4.7604e+01,2.8533e+01,1.7768e+05,1.7768e+05,-3.6749e-16,1.5532e+00
1.9050e+01,4.7801e+01,2.8652e+01,1.7835e+05,1.7835e+05,-3.6749e-16,1.5532e+00
1.9100e+01,4.7999e+01,2.8771e+01,1.7903e+05,1.7903e+05,-3.6749e-16,1.5532e+00
1.9150e+01,4.8197e+01,2.8889e+01,1.7970e+05,1.7971e+05,-3.6749e-16,1.5532e+00
1.9200e+01,4.8396e+01,2.9008e+01,1.8038e+05,1.8038e+05,-3.6749e-16,1.5532e+00
1.9250e+01,4.8595e+01,2.9128e+01,1.8106e+05,1.8106e+05,-3.6749e-16,1.5532e+00
1.9300e+01,4.8794e+01,2.9247e+01,1.8174e+05,1.8174e+05,-3.6749e-16,1.5532e+00
1.9350e+01,4.8993e+01,2.9366e+01,1.8242e+05,1.8242e+05,-3.6749e-16,1.5532e+00
1.9400e+01,4.9193e+01,2.9486e+01,1.8310e+05,1.8310e+05,-3.6749e-16,1.5532e+00
1.9450e+01,4.9393e+01,2.9606e+01,1.8378e+05,1.8379e+05,-3.6749e-16,1.5532e+00
1.9500e+01,4.9593e+01,2.9726e+01,1.8447e+05,1.8447e+05,-3.6749e-16,1.5532e+00
1.9550e+01,4.9793e+01,2.9846e+01,1.8515e+05,1.8515e+05,-3.6749e-16,1.5532e+00
1.9600e+01,4.9994e+01,2.9966e+01,1.8584e+05,1.8584e+05,-3.6749e-16,1.5532e+00
1.9650e+01,5.0195e+01,3.0087e+01,1.8653e+05,1.8653e+05,-3.6749e-16,1.5532e+00
1.9700e+01,5.0396e+01,3.0207e+01,1.8721e+05,1.8722e+05,-3.6749e-16,1.5532e+00
1.9750e+01,5.0598e+01,3.0328e+01,1.8790e+05,1.8790e+05,-3.6749e-16,1.5532e+00
1.9800e+01,5.0800e+01,3.0449e+01,1.8859e+05,1.8859e+05,-3.6749e-16,1.5532e+00
1.9850e+01,5.1002e+01,3.0570e+01,1.8928e+05,1.8929e+05,-3.6749e-16,1.5532e+00
1.9900e+01,5.1204e+01,3.0692e+01,1.8998e+05,1.8998e+05,-3.6749e-16,1.5532e+00
1.9950e+01,5.1407e+01,3.0813e+01,1.9067e+05,1.9067e+05,-3.6749e-16,1.5532e+00
2.0000e+01,5.1610e+01,3.0935e+01,1.9136e+05,1.9136e+05,-3.6749e-16,1.5532e+00
