Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
7.1223e-02,-3.3828e+00,-5.5184e+00,-5.5508e+00,-5.5184e+00
7.2227e-02,-3.3822e+00,-5.5184e+00,-5.5502e+00,-5.5184e+00
7.3231e-02,-3.3819e+00,-5.5184e+00,-5.5499e+00,-5.5184e+00
7.4235e-02,-3.3817e+00,-5.5184e+00,-5.5497e+00,-5.5184e+00
7.5238e-02,-3.3816e+00,-5.5184e+00,-5.5496e+00,-5.5184e+00
7.6242e-02,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
7.7246e-02,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
7.8250e-02,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
7.9254e-02,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
8.0258e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.1262e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.2265e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.3269e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.4273e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.5277e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.6281e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.7285e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.8288e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
8.9292e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.0296e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.1300e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.2304e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.3308e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.4312e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.5315e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.6319e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.7323e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.8327e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
9.9331e-02,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
1.0033e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
1.0134e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
1.0234e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
1.0335e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
1.0435e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
1.0535e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
1.0636e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
1.0736e-01,-3.3816e+00,-5.5184e+00,-5.5496e+00,-5.5184e+00
1.0837e-01,-3.3817e+00,-5.5184e+00,-5.5497e+00,-5.5184e+00
1.0937e-01,-3.3819e+00,-5.5184e+00,-5.5499e+00,-5.5184e+00
1.1037e-01,-3.3822e+00,-5.5184e+00,-5.5502e+00,-5.5184e+00
1.1138e-01,-3.3828e+00,-5.5184e+00,-5.5508e+00,-5.5184e+00
1.1238e-01,-3.3839e+00,-5.5184e+00,-5.5519e+00,-5.5184e+00
1.1338e-01,-3.3857e+00,-5.5184e+00,-5.5537e+00,-5.5184e+00
1.1439e-01,-3.3890e+00,-5.5184e+00,-5.5570e+00,-5.5184e+00
1.1539e-01,-3.3945e+00,-5.5184e+00,-5.5625e+00,-5.5184e+00
1.1640e-01,-3.4037e+00,-5.5184e+00,-5.5717e+00,-5.5184e+00
1.1740e-01,-3.4181e+00,-5.5184e+00,-5.5861e+00,-5.5184e+00
1.1840e-01,-3.4322e+00,-5.5184e+00,-5.5723e+00,-5.5184e+00
1.1940e-01,-3.4497e+00,-5.5184e+00,-5.5633e+00,-5.5184e+00
1.2040e-01,-3.4690e+00,-5.5184e+00,-5.5576e+00,-5.5184e+00
1.2140e-01,-3.4890e+00,-5.5184e+00,-5.5538e+00,-5.5184e+00
1.2240e-01,-3.5088e+00,-5.5184e+00,-5.5513e+00,-5.5184e+00
1.2340e-01,-3.5278e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
1.2440e-01,-3.5458e+00,-5.5184e+00,-5.5477e+00,-5.5184e+00
1.2540e-01,-3.5680e+00,-5.5184e+00,-5.5460e+00,-5.5184e+00
1.2640e-01,-3.6525e+00,-5.5184e+00,-5.5440e+00,-5.5184e+00
1.2740e-01,-3.7363e+00,-5.5184e+00,-5.5411e+00,-5.5184e+00
1.2840e-01,-3.8186e+00,-5.5184e+00,-5.5368e+00,-5.5184e+00
1.2940e-01,-3.8982e+00,-5.5184e+00,-5.5298e+00,-5.5184e+00
1.3040e-01,-3.9726e+00,-5.5184e+00,-5.5175e+00,-5.5184e+00
1.3140e-01,-3.9835e+00,-5.5184e+00,-5.5285e+00,-5.5184e+00
1.3241e-01,-3.9894e+00,-5.5184e+00,-5.5344e+00,-5.5184e+00
1.3341e-01,-3.9927e+00,-5.5184e+00,-5.5377e+00,-5.5184e+00
1.3442e-01,-3.9947e+00,-5.5184e+00,-5.5396e+00,-5.5184e+00
1.3542e-01,-3.9958e+00,-5.5184e+00,-5.5408e+00,-5.5184e+00
1.3642e-01,-3.9965e+00,-5.5184e+00,-5.5414e+00,-5.5184e+00
1.3743e-01,-3.9968e+00,-5.5184e+00,-5.5418e+00,-5.5184e+00
1.3843e-01,-3.9971e+00,-5.5184e+00,-5.5420e+00,-5.5184e+00
1.3943e-01,-3.9972e+00,-5.5184e+00,-5.5422e+00,-5.5184e+00
1.4044e-01,-3.9973e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
1.4144e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
1.4245e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
1.4345e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.4445e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.4546e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.4646e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.4747e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.4847e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.4947e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5048e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5148e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5248e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5349e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5449e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5550e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5650e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5750e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5851e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5951e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6052e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6152e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6252e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6353e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6453e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6553e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6654e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6754e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6855e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6955e-01,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.7055e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
1.7156e-01,-3.9974e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
1.7256e-01,-3.9973e+00,-5.5184e+00,-5.5423e+00,-5.5184e+00
1.7357e-01,-3.9972e+00,-5.5184e+00,-5.5422e+00,-5.5184e+00
1.7457e-01,-3.9971e+00,-5.5184e+00,-5.5420e+00,-5.5184e+00
1.7557e-01,-3.9968e+00,-5.5184e+00,-5.5418e+00,-5.5184e+00
1.7658e-01,-3.9965e+00,-5.5184e+00,-5.5414e+00,-5.5184e+00
1.7758e-01,-3.9958e+00,-5.5184e+00,-5.5408e+00,-5.5184e+00
1.7858e-01,-3.9947e+00,-5.5184e+00,-5.5396e+00,-5.5184e+00
1.7959e-01,-3.9927e+00,-5.5184e+00,-5.5377e+00,-5.5184e+00
1.8059e-01,-3.9894e+00,-5.5184e+00,-5.5344e+00,-5.5184e+00
1.8160e-01,-3.9835e+00,-5.5184e+00,-5.5285e+00,-5.5184e+00
1.8260e-01,-3.9726e+00,-5.5184e+00,-5.5175e+00,-5.5184e+00
1.8360e-01,-3.8982e+00,-5.5184e+00,-5.5298e+00,-5.5184e+00
1.8460e-01,-3.8186e+00,-5.5184e+00,-5.5368e+00,-5.5184e+00
1.8560e-01,-3.7363e+00,-5.5184e+00,-5.5411e+00,-5.5184e+00
1.8660e-01,-3.6525e+00,-5.5184e+00,-5.5440e+00,-5.5184e+00
1.8760e-01,-3.5680e+00,-5.5184e+00,-5.5460e+00,-5.5184e+00
1.8860e-01,-3.5458e+00,-5.5184e+00,-5.5477e+00,-5.5184e+00
1.8960e-01,-3.5278e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
1.9060e-01,-3.5088e+00,-5.5184e+00,-5.5513e+00,-5.5184e+00
1.9160e-01,-3.4890e+00,-5.5184e+00,-5.5538e+00,-5.5184e+00
1.9260e-01,-3.4690e+00,-5.5184e+00,-5.5576e+00,-5.5184e+00
1.9360e-01,-3.4497e+00,-5.5184e+00,-5.5633e+00,-5.5184e+00
1.9460e-01,-3.4322e+00,-5.5184e+00,-5.5723e+00,-5.5184e+00
1.9560e-01,-3.4181e+00,-5.5184e+00,-5.5861e+00,-5.5184e+00
1.9660e-01,-3.4037e+00,-5.5184e+00,-5.5717e+00,-5.5184e+00
1.9761e-01,-3.3945e+00,-5.5184e+00,-5.5625e+00,-5.5184e+00
1.9861e-01,-3.3890e+00,-5.5184e+00,-5.5570e+00,-5.5184e+00
1.9962e-01,-3.3857e+00,-5.5184e+00,-5.5537e+00,-5.5184e+00
2.0062e-01,-3.3839e+00,-5.5184e+00,-5.5519e+00,-5.5184e+00
2.0162e-01,-3.3828e+00,-5.5184e+00,-5.5508e+00,-5.5184e+00
2.0263e-01,-3.3822e+00,-5.5184e+00,-5.5502e+00,-5.5184e+00
2.0363e-01,-3.3819e+00,-5.5184e+00,-5.5499e+00,-5.5184e+00
2.0463e-01,-3.3817e+00,-5.5184e+00,-5.5497e+00,-5.5184e+00
2.0564e-01,-3.3816e+00,-5.5184e+00,-5.5496e+00,-5.5184e+00
2.0664e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
2.0765e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
2.0865e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
2.0965e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
2.1066e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1166e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1267e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1367e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
