Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
1.2165e-01,-3.9678e+23,-4.5902e+23
1.2265e-01,-4.1871e+23,-5.3278e+23
1.2364e-01,-6.4348e+23,-6.6656e+23
1.2463e-01,-8.3340e+23,-8.5631e+23
1.2562e-01,-1.0664e+24,-1.0946e+24
1.2662e-01,-1.2030e+24,-1.3613e+24
1.2761e-01,1.6641e+24,-1.5858e+24
1.2860e-01,7.5976e+25,-1.4188e+24
1.2961e-01,7.4945e+25,-2.1123e+24
1.3062e-01,7.4256e+25,-2.6928e+24
1.3162e-01,7.3604e+25,-3.2517e+24
1.3263e-01,7.2932e+25,-3.8282e+24
1.3364e-01,7.2227e+25,-4.4375e+24
1.3465e-01,7.1484e+25,-5.0844e+24
1.3565e-01,7.0703e+25,-5.7699e+24
1.3666e-01,6.9884e+25,-6.4931e+24
1.3767e-01,6.9029e+25,-7.2523e+24
1.3868e-01,6.8140e+25,-8.0457e+24
1.3969e-01,6.7219e+25,-8.8709e+24
1.4069e-01,6.6269e+25,-9.7259e+24
1.4170e-01,6.5291e+25,-1.0608e+25
1.4271e-01,6.4289e+25,-1.1516e+25
1.4372e-01,6.3264e+25,-1.2445e+25
1.4473e-01,6.2220e+25,-1.3395e+25
1.4573e-01,6.1158e+25,-1.4361e+25
1.4674e-01,6.0083e+25,-1.5342e+25
1.4775e-01,5.8995e+25,-1.6335e+25
1.4876e-01,5.7899e+25,-1.7337e+25
1.4976e-01,5.6796e+25,-1.8346e+25
1.5077e-01,5.5691e+25,-1.9357e+25
1.5178e-01,5.4584e+25,-2.0370e+25
1.5279e-01,5.3480e+25,-2.1380e+25
1.5380e-01,5.2382e+25,-2.2385e+25
1.5480e-01,5.1291e+25,-2.3383e+25
1.5581e-01,5.0210e+25,-2.4370e+25
1.5682e-01,4.9143e+25,-2.5343e+25
1.5783e-01,4.8092e+25,-2.6301e+25
1.5884e-01,4.7060e+25,-2.7240e+25
1.5984e-01,4.6050e+25,-2.8158e+25
1.6085e-01,4.5063e+25,-2.9052e+25
1.6186e-01,4.4103e+25,-2.9920e+25
1.6287e-01,4.3171e+25,-3.0759e+25
1.6387e-01,4.2271e+25,-3.1567e+25
1.6488e-01,4.1404e+25,-3.2341e+25
1.6589e-01,4.0573e+25,-3.3080e+25
1.6690e-01,3.9779e+25,-3.3782e+25
1.6791e-01,3.9025e+25,-3.4444e+25
1.6891e-01,3.8313e+25,-3.5065e+25
1.6992e-01,3.7644e+25,-3.5643e+25
1.7093e-01,3.7019e+25,-3.6175e+25
1.7194e-01,3.6442e+25,-3.6661e+25
1.7295e-01,3.5914e+25,-3.7098e+25
1.7395e-01,3.5440e+25,-3.7481e+25
1.7496e-01,3.5034e+25,-3.7796e+25
1.7597e-01,3.4731e+25,-3.8008e+25
1.7698e-01,3.4641e+25,-3.8008e+25
1.7798e-01,3.5100e+25,-3.7460e+25
1.7899e-01,3.7149e+25,-3.5349e+25
1.8000e-01,4.4001e+25,-2.8709e+25
1.8099e-01,-3.7091e+25,-3.9942e+25
1.8198e-01,-4.3350e+25,-4.3506e+25
1.8298e-01,-4.4990e+25,-4.5041e+25
1.8397e-01,-4.5814e+25,-4.5860e+25
1.8496e-01,-4.6342e+25,-4.6387e+25
1.8595e-01,-4.6564e+25,-4.6768e+25
1.8695e-01,-4.6951e+25,-4.7052e+25
1.8794e-01,-4.7050e+25,-4.7267e+25
1.8893e-01,-4.7361e+25,-4.7455e+25
1.8992e-01,-4.7705e+25,-4.7747e+25
1.9092e-01,-4.8560e+25,-4.8581e+25
1.9191e-01,-5.1456e+25,-5.1468e+25
1.9290e-01,-6.1452e+25,-6.1461e+25
1.9391e-01,-8.9994e+25,-9.0010e+25
1.9492e-01,-8.2886e+25,-8.2912e+25
1.9592e-01,-7.9709e+25,-7.9744e+25
1.9693e-01,-7.7607e+25,-7.7650e+25
1.9794e-01,-7.5768e+25,-7.5819e+25
1.9895e-01,-7.3965e+25,-7.4024e+25
1.9995e-01,-7.2138e+25,-7.2204e+25
2.0096e-01,-7.0271e+25,-7.0343e+25
2.0197e-01,-6.8363e+25,-6.8441e+25
2.0298e-01,-6.6416e+25,-6.6499e+25
2.0399e-01,-6.4435e+25,-6.4522e+25
2.0499e-01,-6.2421e+25,-6.2513e+25
2.0600e-01,-6.0381e+25,-6.0476e+25
2.0701e-01,-5.8317e+25,-5.8414e+25
2.0802e-01,-5.6233e+25,-5.6333e+25
2.0903e-01,-5.4135e+25,-5.4237e+25
2.1003e-01,-5.2026e+25,-5.2129e+25
2.1104e-01,-4.9909e+25,-5.0014e+25
2.1205e-01,-4.7790e+25,-4.7895e+25
2.1306e-01,-4.5673e+25,-4.5778e+25
2.1406e-01,-4.3562e+25,-4.3667e+25
2.1507e-01,-4.1461e+25,-4.1565e+25
2.1608e-01,-3.9374e+25,-3.9477e+25
2.1709e-01,-3.7305e+25,-3.7407e+25
2.1810e-01,-3.5259e+25,-3.5360e+25
2.1910e-01,-3.3239e+25,-3.3338e+25
2.2011e-01,-3.1250e+25,-3.1347e+25
2.2112e-01,-2.9296e+25,-2.9390e+25
2.2213e-01,-2.7380e+25,-2.7472e+25
2.2314e-01,-2.5506e+25,-2.5595e+25
2.2414e-01,-2.3679e+25,-2.3765e+25
2.2515e-01,-2.1901e+25,-2.1984e+25
2.2616e-01,-2.0176e+25,-2.0255e+25
2.2717e-01,-1.8508e+25,-1.8584e+25
2.2817e-01,-1.6900e+25,-1.6972e+25
2.2918e-01,-1.5355e+25,-1.5423e+25
2.3019e-01,-1.3876e+25,-1.3941e+25
2.3120e-01,-1.2467e+25,-1.2527e+25
2.3221e-01,-1.1129e+25,-1.1185e+25
2.3321e-01,-9.8666e+24,-9.9185e+24
2.3422e-01,-8.6810e+24,-8.7287e+24
2.3523e-01,-7.5751e+24,-7.6185e+24
2.3624e-01,-6.5511e+24,-6.5900e+24
2.3725e-01,-5.6110e+24,-5.6454e+24
2.3825e-01,-4.7569e+24,-4.7869e+24
2.3926e-01,-3.9913e+24,-4.0168e+24
2.4027e-01,-3.3175e+24,-3.3384e+24
