wl,n,k
0.34635,3.66E+00,2.01E+00
0.34829,3.67E+00,2.02E+00
0.35026,3.69E+00,2.04E+00
0.35225,3.72E+00,2.05E+00
0.35426,3.74E+00,2.07E+00
0.3563,3.78E+00,2.08E+00
0.35836,3.81E+00,2.10E+00
0.36044,3.86E+00,2.12E+00
0.36255,3.91E+00,2.13E+00
0.36468,3.97E+00,2.14E+00
0.36684,4.04E+00,2.13E+00
0.36903,4.11E+00,2.12E+00
0.37124,4.17E+00,2.09E+00
0.37347,4.23E+00,2.05E+00
0.37574,4.28E+00,2.01E+00
0.37803,4.32E+00,1.97E+00
0.38035,4.36E+00,1.94E+00
0.38269,4.40E+00,1.91E+00
0.38507,4.45E+00,1.88E+00
0.38748,4.50E+00,1.86E+00
0.38991,4.58E+00,1.83E+00
0.39238,4.66E+00,1.77E+00
0.39488,4.74E+00,1.69E+00
0.39741,4.81E+00,1.58E+00
0.39998,4.85E+00,1.46E+00
0.40257,4.86E+00,1.34E+00
0.4052,4.85E+00,1.22E+00
0.40787,4.82E+00,1.12E+00
0.41057,4.79E+00,1.03E+00
0.41331,4.75E+00,9.54E-01
0.41608,4.71E+00,8.89E-01
0.41889,4.67E+00,8.31E-01
0.42174,4.63E+00,7.78E-01
0.42463,4.59E+00,7.31E-01
0.42756,4.55E+00,6.90E-01
0.43053,4.51E+00,6.52E-01
0.43354,4.48E+00,6.19E-01
0.43659,4.44E+00,5.90E-01
0.43969,4.41E+00,5.62E-01
0.44283,4.38E+00,5.35E-01
0.44602,4.35E+00,5.11E-01
0.44925,4.32E+00,4.89E-01
0.45253,4.29E+00,4.68E-01
0.45586,4.26E+00,4.50E-01
0.45923,4.23E+00,4.34E-01
0.46266,4.21E+00,4.21E-01
0.46614,4.18E+00,4.04E-01
0.46967,4.16E+00,3.87E-01
0.47325,4.14E+00,3.72E-01
0.47689,4.12E+00,3.58E-01
0.48059,4.09E+00,3.45E-01
0.48435,4.07E+00,3.31E-01
0.48816,4.05E+00,3.19E-01
0.49203,4.03E+00,3.09E-01
0.49597,4.02E+00,2.99E-01
0.49997,4.00E+00,2.90E-01
0.50403,3.98E+00,2.80E-01
0.50817,3.96E+00,2.69E-01
0.51237,3.95E+00,2.60E-01
0.51664,3.93E+00,2.51E-01
0.52098,3.92E+00,2.44E-01
0.52539,3.90E+00,2.38E-01
0.52988,3.89E+00,2.33E-01
0.53445,3.87E+00,2.27E-01
0.5391,3.86E+00,2.22E-01
0.54383,3.85E+00,2.17E-01
0.54864,3.84E+00,2.13E-01
0.55354,3.82E+00,2.09E-01
0.55853,3.82E+00,2.03E-01
0.5636,3.81E+00,1.95E-01
0.56877,3.79E+00,1.87E-01
0.57404,3.78E+00,1.79E-01
0.5794,3.77E+00,1.72E-01
0.58487,3.75E+00,1.67E-01
0.59044,3.74E+00,1.63E-01
0.59612,3.73E+00,1.59E-01
0.60191,3.71E+00,1.54E-01
0.60781,3.70E+00,1.50E-01
0.61382,3.69E+00,1.45E-01
0.61996,3.68E+00,1.40E-01
0.62623,3.67E+00,1.33E-01
0.63262,3.66E+00,1.25E-01
0.63914,3.65E+00,1.18E-01
0.64579,3.65E+00,1.12E-01
0.65259,3.65E+00,1.03E-01
0.65954,3.65E+00,7.68E-02
0.66663,3.64E+00,4.97E-02
0.67387,3.62E+00,2.64E-02
0.68128,3.60E+00,1.04E-02
0.68885,3.57E+00,6.48E-03
0.69659,3.56E+00,3.49E-03
0.7045,3.54E+00,1.76E-03
0.7126,3.52E+00,9.01E-04
0.72089,3.51E+00,3.82E-04
0.72937,3.50E+00,5.73E-04
0.73805,3.49E+00,3.85E-04
0.74694,3.48E+00,1.49E-04
0.75605,3.47E+00,0.00E+00
0.76539,3.46E+00,0.00E+00
0.77495,3.45E+00,0.00E+00
0.78476,3.44E+00,0.00E+00
0.79482,3.42E+00,0.00E+00
0.80515,3.42E+00,0.00E+00
0.81574,3.41E+00,0.00E+00
0.82662,3.40E+00,0.00E+00
0.83779,3.40E+00,0.00E+00
0.84926,3.39E+00,0.00E+00
0.86106,3.38E+00,0.00E+00
0.87319,3.37E+00,0.00E+00
0.88566,3.37E+00,0.00E+00
0.8985,3.36E+00,0.00E+00
0.91171,3.35E+00,0.00E+00
0.92532,3.34E+00,0.00E+00
0.93934,3.34E+00,0.00E+00
0.95379,3.33E+00,0.00E+00
0.96869,3.33E+00,0.00E+00
0.98407,3.32E+00,0.00E+00
0.99994,3.31E+00,0.00E+00
1.01633,3.31E+00,0.00E+00
1.03327,3.30E+00,0.00E+00
1.05078,3.30E+00,0.00E+00
1.0689,3.29E+00,0.00E+00
1.08765,3.29E+00,0.00E+00
1.10708,3.28E+00,0.00E+00
1.12721,3.28E+00,0.00E+00
1.14808,3.27E+00,0.00E+00
1.16974,3.27E+00,0.00E+00
1.19224,3.26E+00,0.00E+00
1.21561,3.26E+00,0.00E+00
1.23993,3.25E+00,0.00E+00
1.26523,3.25E+00,0.00E+00
1.29159,3.25E+00,0.00E+00
1.31907,3.24E+00,0.00E+00
1.34775,3.24E+00,0.00E+00
1.3777,3.24E+00,0.00E+00
1.40901,3.23E+00,0.00E+00
1.44177,3.23E+00,0.00E+00
1.4761,3.22E+00,0.00E+00
1.5121,3.22E+00,0.00E+00
1.54991,3.22E+00,0.00E+00
1.58965,3.21E+00,0.00E+00
1.63148,3.21E+00,0.00E+00
1.67558,3.21E+00,0.00E+00
1.72212,3.21E+00,0.00E+00
1.77132,3.20E+00,0.00E+00
1.82342,3.20E+00,0.00E+00
1.87868,3.20E+00,0.00E+00
