wl,n,k
0.26049,3.47E+00,3.75E+00
0.26159,3.56E+00,3.69E+00
0.2627,3.65E+00,3.62E+00
0.26381,3.74E+00,3.55E+00
0.26494,3.81E+00,3.47E+00
0.26608,3.87E+00,3.38E+00
0.26723,3.93E+00,3.28E+00
0.26838,3.97E+00,3.19E+00
0.26955,4.01E+00,3.10E+00
0.27073,4.03E+00,3.01E+00
0.27191,4.05E+00,2.92E+00
0.27311,4.05E+00,2.83E+00
0.27432,4.06E+00,2.75E+00
0.27554,4.06E+00,2.67E+00
0.27677,4.05E+00,2.60E+00
0.27801,4.03E+00,2.53E+00
0.27926,4.02E+00,2.46E+00
0.28053,4.00E+00,2.40E+00
0.2818,3.98E+00,2.35E+00
0.28309,3.96E+00,2.30E+00
0.28439,3.93E+00,2.26E+00
0.2857,3.91E+00,2.22E+00
0.28702,3.88E+00,2.18E+00
0.28835,3.86E+00,2.15E+00
0.2897,3.84E+00,2.12E+00
0.29106,3.82E+00,2.09E+00
0.29244,3.79E+00,2.06E+00
0.29382,3.77E+00,2.04E+00
0.29522,3.75E+00,2.02E+00
0.29663,3.74E+00,2.01E+00
0.29806,3.72E+00,1.99E+00
0.2995,3.70E+00,1.98E+00
0.30095,3.69E+00,1.97E+00
0.30242,3.67E+00,1.96E+00
0.3039,3.66E+00,1.95E+00
0.3054,3.65E+00,1.94E+00
0.30691,3.64E+00,1.93E+00
0.30844,3.62E+00,1.93E+00
0.30998,3.62E+00,1.92E+00
0.31154,3.61E+00,1.92E+00
0.31311,3.60E+00,1.92E+00
0.3147,3.59E+00,1.92E+00
0.31631,3.59E+00,1.91E+00
0.31793,3.58E+00,1.91E+00
0.31957,3.58E+00,1.91E+00
0.32122,3.58E+00,1.92E+00
0.3229,3.57E+00,1.92E+00
0.32459,3.57E+00,1.92E+00
0.3263,3.57E+00,1.92E+00
0.32802,3.57E+00,1.93E+00
0.32977,3.58E+00,1.93E+00
0.33153,3.58E+00,1.94E+00
0.33331,3.59E+00,1.94E+00
0.33512,3.59E+00,1.95E+00
0.33694,3.60E+00,1.96E+00
0.33878,3.61E+00,1.97E+00
0.34064,3.62E+00,1.98E+00
0.34252,3.63E+00,1.99E+00
0.34442,3.64E+00,2.00E+00
