Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
6.3000e+00,2.6551e-01,1.3242e-01,7.2048e+04,7.2048e+04,-3.6749e-16,1.5532e+00
6.4000e+00,2.7221e-01,1.3576e-01,7.3861e+04,7.3861e+04,-3.6749e-16,1.5532e+00
6.5000e+00,2.7895e-01,1.3912e-01,7.5684e+04,7.5684e+04,-3.6749e-16,1.5532e+00
6.6000e+00,2.8571e-01,1.4250e-01,7.7516e+04,7.7516e+04,-3.6749e-16,1.5532e+00
6.7000e+00,2.9251e-01,1.4589e-01,7.9358e+04,7.9359e+04,-3.6749e-16,1.5532e+00
6.8000e+00,2.9935e-01,1.4930e-01,8.1210e+04,8.1210e+04,-3.6749e-16,1.5532e+00
6.9000e+00,3.0622e-01,1.5272e-01,8.3072e+04,8.3072e+04,-3.6749e-16,1.5532e+00
7.0000e+00,3.1312e-01,1.5617e-01,8.4943e+04,8.4943e+04,-3.6749e-16,1.5532e+00
7.1000e+00,3.2005e-01,1.5962e-01,8.6824e+04,8.6824e+04,-3.6749e-16,1.5532e+00
7.2000e+00,3.2702e-01,1.6310e-01,8.8714e+04,8.8714e+04,-3.6749e-16,1.5532e+00
7.3000e+00,3.3402e-01,1.6659e-01,9.0614e+04,9.0614e+04,-3.6749e-16,1.5532e+00
7.4000e+00,3.4106e-01,1.7010e-01,9.2524e+04,9.2524e+04,-3.6749e-16,1.5532e+00
7.5000e+00,3.4813e-01,1.7363e-01,9.4443e+04,9.4443e+04,-3.6749e-16,1.5532e+00
7.6000e+00,3.5523e-01,1.7717e-01,9.6372e+04,9.6372e+04,-3.6749e-16,1.5532e+00
7.7000e+00,3.6237e-01,1.8073e-01,9.8311e+04,9.8311e+04,-3.6749e-16,1.5532e+00
7.8000e+00,3.6954e-01,1.8430e-01,1.0026e+05,1.0026e+05,-3.6749e-16,1.5532e+00
7.9000e+00,3.7674e-01,1.8790e-01,1.0222e+05,1.0222e+05,-3.6749e-16,1.5532e+00
8.0000e+00,3.8398e-01,1.9151e-01,1.0418e+05,1.0419e+05,-3.6749e-16,1.5532e+00
