wl,n,k
0.88566,3.50E+00,0.00E+00
0.8985,3.49E+00,0.00E+00
0.91171,3.48E+00,0.00E+00
0.92532,3.48E+00,0.00E+00
0.93934,3.47E+00,0.00E+00
0.95379,3.46E+00,0.00E+00
0.96869,3.45E+00,0.00E+00
0.98407,3.44E+00,0.00E+00
0.99994,3.44E+00,0.00E+00
1.01633,3.43E+00,0.00E+00
1.03327,3.43E+00,0.00E+00
1.05078,3.42E+00,0.00E+00
1.0689,3.41E+00,0.00E+00
1.08765,3.41E+00,0.00E+00
1.10708,3.40E+00,0.00E+00
1.12721,3.40E+00,0.00E+00
1.14808,3.40E+00,0.00E+00
1.16974,3.39E+00,0.00E+00
1.19224,3.39E+00,0.00E+00
1.21561,3.38E+00,0.00E+00
1.23993,3.38E+00,0.00E+00
1.26523,3.38E+00,0.00E+00
1.29159,3.37E+00,0.00E+00
1.31907,3.37E+00,0.00E+00
1.34775,3.37E+00,0.00E+00
1.3777,3.36E+00,0.00E+00
1.40901,3.36E+00,0.00E+00
1.44177,3.36E+00,0.00E+00
1.4761,3.35E+00,0.00E+00
1.5121,3.35E+00,0.00E+00
1.54991,3.34E+00,0.00E+00
1.58965,3.35E+00,0.00E+00
1.63148,3.35E+00,0.00E+00
1.67558,3.34E+00,0.00E+00
1.72212,3.34E+00,0.00E+00
1.77132,3.34E+00,0.00E+00
1.82342,3.34E+00,0.00E+00
1.87868,3.34E+00,0.00E+00
