Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
5.4000e-01,5.2275e-20,2.0894e-20,6.6292e-08,6.6292e-08,5.4000e-01,0.0000e+00
5.5000e-01,7.6954e-20,3.0759e-20,8.1714e-08,8.1714e-08,5.5000e-01,0.0000e+00
5.6000e-01,1.1328e-19,4.5280e-20,1.0076e-07,1.0076e-07,5.6000e-01,0.0000e+00
5.7000e-01,1.6677e-19,6.6657e-20,1.2430e-07,1.2430e-07,5.7000e-01,0.0000e+00
5.8000e-01,2.4550e-19,9.8125e-20,1.5340e-07,1.5340e-07,5.8000e-01,0.0000e+00
5.9000e-01,3.6140e-19,1.4445e-19,1.8939e-07,1.8939e-07,5.9000e-01,0.0000e+00
6.0000e-01,5.3201e-19,2.1265e-19,2.3392e-07,2.3392e-07,6.0000e-01,0.0000e+00
6.1000e-01,7.8318e-19,3.1304e-19,2.8906e-07,2.8906e-07,6.1000e-01,0.0000e+00
6.2000e-01,1.1529e-18,4.6082e-19,3.5736e-07,3.5736e-07,6.2000e-01,0.0000e+00
6.3000e-01,1.6972e-18,6.7838e-19,4.4200e-07,4.4200e-07,6.3000e-01,0.0000e+00
6.4000e-01,2.4985e-18,9.9864e-19,5.4697e-07,5.4697e-07,6.4000e-01,0.0000e+00
6.5000e-01,3.6780e-18,1.4701e-18,6.7720e-07,6.7721e-07,6.5000e-01,0.0000e+00
6.6000e-01,5.4144e-18,2.1641e-18,8.3889e-07,8.3889e-07,6.6000e-01,0.0000e+00
6.7000e-01,7.9706e-18,3.1858e-18,1.0397e-06,1.0397e-06,6.7000e-01,0.0000e+00
6.8000e-01,1.1734e-17,4.6899e-18,1.2894e-06,1.2894e-06,6.8000e-01,0.0000e+00
6.9000e-01,1.7273e-17,6.9040e-18,1.6000e-06,1.6000e-06,6.9000e-01,0.0000e+00
7.0000e-01,2.5428e-17,1.0163e-17,1.9865e-06,1.9865e-06,7.0000e-01,0.0000e+00
7.1000e-01,3.7432e-17,1.4962e-17,2.4679e-06,2.4679e-06,7.1000e-01,0.0000e+00
7.2000e-01,5.5104e-17,2.2025e-17,3.0679e-06,3.0679e-06,7.2000e-01,0.0000e+00
7.3000e-01,8.1119e-17,3.2423e-17,3.8163e-06,3.8163e-06,7.3000e-01,0.0000e+00
