wl,n,k
0.26049,3.51E+00,3.79E+00
0.26159,3.62E+00,3.73E+00
0.2627,3.72E+00,3.65E+00
0.26381,3.81E+00,3.57E+00
0.26494,3.89E+00,3.47E+00
0.26608,3.95E+00,3.37E+00
0.26723,4.01E+00,3.27E+00
0.26838,4.05E+00,3.17E+00
0.26955,4.08E+00,3.07E+00
0.27073,4.10E+00,2.97E+00
0.27191,4.11E+00,2.87E+00
0.27311,4.11E+00,2.78E+00
0.27432,4.10E+00,2.70E+00
0.27554,4.09E+00,2.62E+00
0.27677,4.08E+00,2.55E+00
0.27801,4.06E+00,2.48E+00
0.27926,4.04E+00,2.42E+00
0.28053,4.02E+00,2.37E+00
0.2818,3.99E+00,2.32E+00
0.28309,3.97E+00,2.28E+00
0.28439,3.95E+00,2.24E+00
0.2857,3.92E+00,2.20E+00
0.28702,3.90E+00,2.17E+00
0.28835,3.88E+00,2.14E+00
0.2897,3.86E+00,2.11E+00
0.29106,3.84E+00,2.09E+00
0.29244,3.82E+00,2.06E+00
0.29382,3.80E+00,2.04E+00
0.29522,3.78E+00,2.03E+00
0.29663,3.76E+00,2.01E+00
0.29806,3.75E+00,2.00E+00
0.2995,3.74E+00,1.99E+00
0.30095,3.72E+00,1.97E+00
0.30242,3.71E+00,1.97E+00
0.3039,3.70E+00,1.96E+00
0.3054,3.69E+00,1.95E+00
0.30691,3.68E+00,1.94E+00
0.30844,3.67E+00,1.94E+00
0.30998,3.66E+00,1.93E+00
0.31154,3.66E+00,1.93E+00
0.31311,3.65E+00,1.93E+00
0.3147,3.65E+00,1.93E+00
0.31631,3.65E+00,1.93E+00
0.31793,3.64E+00,1.93E+00
0.31957,3.64E+00,1.93E+00
0.32122,3.64E+00,1.93E+00
0.3229,3.64E+00,1.93E+00
0.32459,3.65E+00,1.93E+00
0.3263,3.65E+00,1.94E+00
0.32802,3.65E+00,1.94E+00
0.32977,3.66E+00,1.95E+00
0.33153,3.67E+00,1.95E+00
0.33331,3.68E+00,1.96E+00
0.33512,3.69E+00,1.97E+00
0.33694,3.70E+00,1.97E+00
0.33878,3.71E+00,1.98E+00
0.34064,3.73E+00,1.99E+00
0.34252,3.75E+00,2.01E+00
0.34442,3.77E+00,2.02E+00
0.34635,3.79E+00,2.03E+00
0.34829,3.83E+00,2.04E+00
0.35026,3.86E+00,2.06E+00
0.35225,3.90E+00,2.07E+00
0.35426,3.95E+00,2.08E+00
0.3563,4.01E+00,2.08E+00
0.35836,4.07E+00,2.07E+00
0.36044,4.13E+00,2.05E+00
0.36255,4.19E+00,2.03E+00
0.36468,4.24E+00,1.99E+00
0.36684,4.29E+00,1.96E+00
0.36903,4.33E+00,1.92E+00
0.37124,4.37E+00,1.89E+00
0.37347,4.41E+00,1.86E+00
0.37574,4.46E+00,1.83E+00
0.37803,4.52E+00,1.79E+00
0.38035,4.58E+00,1.75E+00
0.38269,4.65E+00,1.69E+00
0.38507,4.71E+00,1.60E+00
0.38748,4.76E+00,1.50E+00
0.38991,4.79E+00,1.39E+00
0.39238,4.79E+00,1.28E+00
0.39488,4.78E+00,1.19E+00
