wl,n,k
0.39741,4.76E+00,1.10E+00
0.39998,4.73E+00,1.02E+00
0.40257,4.70E+00,9.44E-01
0.4052,4.66E+00,8.80E-01
0.40787,4.63E+00,8.25E-01
0.41057,4.59E+00,7.75E-01
0.41331,4.55E+00,7.30E-01
0.41608,4.52E+00,6.89E-01
0.41889,4.48E+00,6.53E-01
0.42174,4.45E+00,6.20E-01
0.42463,4.42E+00,5.90E-01
0.42756,4.39E+00,5.61E-01
0.43053,4.35E+00,5.35E-01
0.43354,4.33E+00,5.11E-01
0.43659,4.30E+00,4.89E-01
0.43969,4.27E+00,4.68E-01
0.44283,4.24E+00,4.48E-01
0.44602,4.22E+00,4.30E-01
0.44925,4.19E+00,4.13E-01
0.45253,4.17E+00,3.97E-01
0.45586,4.14E+00,3.83E-01
0.45923,4.12E+00,3.69E-01
0.46266,4.10E+00,3.55E-01
0.46614,4.08E+00,3.45E-01
0.46967,4.06E+00,3.30E-01
0.47325,4.04E+00,3.16E-01
0.47689,4.02E+00,3.04E-01
0.48059,4.00E+00,2.94E-01
0.48435,3.98E+00,2.82E-01
0.48816,3.97E+00,2.74E-01
0.49203,3.95E+00,2.64E-01
0.49597,3.93E+00,2.54E-01
0.49997,3.92E+00,2.44E-01
0.50403,3.90E+00,2.35E-01
0.50817,3.89E+00,2.26E-01
0.51237,3.88E+00,2.18E-01
0.51664,3.86E+00,2.11E-01
0.52098,3.85E+00,2.03E-01
0.52539,3.84E+00,1.95E-01
0.52988,3.83E+00,1.86E-01
0.53445,3.81E+00,1.75E-01
0.5391,3.80E+00,1.66E-01
0.54383,3.78E+00,1.57E-01
0.54864,3.77E+00,1.48E-01
0.55354,3.75E+00,1.41E-01
0.55853,3.74E+00,1.34E-01
0.5636,3.73E+00,1.27E-01
0.56877,3.71E+00,1.21E-01
0.57404,3.70E+00,1.14E-01
0.5794,3.69E+00,1.07E-01
0.58487,3.68E+00,1.01E-01
0.59044,3.67E+00,9.33E-02
0.59612,3.66E+00,8.64E-02
0.60191,3.66E+00,7.96E-02
0.60781,3.66E+00,6.96E-02
0.61382,3.66E+00,3.74E-02
0.61996,3.64E+00,1.43E-02
0.62623,3.61E+00,3.73E-03
0.63262,3.58E+00,1.86E-03
0.63914,3.56E+00,2.68E-03
0.64579,3.55E+00,1.34E-03
0.65259,3.53E+00,9.00E-04
0.65954,3.51E+00,4.31E-04
0.66663,3.50E+00,1.43E-04
0.67387,3.48E+00,1.90E-04
0.68128,3.47E+00,4.03E-04
0.68885,3.46E+00,5.54E-04
0.69659,3.45E+00,3.83E-04
0.7045,3.43E+00,1.60E-04
0.7126,3.42E+00,3.10E-05
0.72089,3.41E+00,0.00E+00
0.72937,3.40E+00,0.00E+00
0.73805,3.39E+00,0.00E+00
0.74694,3.39E+00,0.00E+00
0.75605,3.38E+00,0.00E+00
0.76539,3.37E+00,0.00E+00
0.77495,3.36E+00,0.00E+00
0.78476,3.35E+00,0.00E+00
0.79482,3.34E+00,0.00E+00
0.80515,3.33E+00,0.00E+00
0.81574,3.32E+00,0.00E+00
0.82662,3.31E+00,0.00E+00
0.83779,3.30E+00,0.00E+00
0.84926,3.30E+00,0.00E+00
0.86106,3.29E+00,0.00E+00
0.87319,3.29E+00,0.00E+00
0.88566,3.28E+00,0.00E+00
0.8985,3.27E+00,0.00E+00
0.91171,3.27E+00,0.00E+00
0.92532,3.26E+00,0.00E+00
0.93934,3.26E+00,0.00E+00
0.95379,3.25E+00,0.00E+00
0.96869,3.25E+00,0.00E+00
0.98407,3.24E+00,0.00E+00
0.99994,3.24E+00,0.00E+00
1.01633,3.24E+00,0.00E+00
1.03327,3.23E+00,0.00E+00
1.05078,3.23E+00,0.00E+00
1.0689,3.22E+00,0.00E+00
1.08765,3.22E+00,0.00E+00
1.10708,3.21E+00,0.00E+00
1.12721,3.21E+00,0.00E+00
1.14808,3.20E+00,0.00E+00
1.16974,3.20E+00,0.00E+00
1.19224,3.19E+00,0.00E+00
1.21561,3.19E+00,0.00E+00
1.23993,3.19E+00,0.00E+00
1.26523,3.18E+00,0.00E+00
1.29159,3.18E+00,0.00E+00
1.31907,3.17E+00,0.00E+00
1.34775,3.17E+00,0.00E+00
1.3777,3.17E+00,0.00E+00
1.40901,3.16E+00,0.00E+00
1.44177,3.16E+00,0.00E+00
1.4761,3.16E+00,0.00E+00
1.5121,3.15E+00,0.00E+00
1.54991,3.15E+00,0.00E+00
1.58965,3.15E+00,0.00E+00
1.63148,3.14E+00,0.00E+00
1.67558,3.14E+00,0.00E+00
1.72212,3.14E+00,0.00E+00
1.77132,3.13E+00,0.00E+00
1.82342,3.13E+00,0.00E+00
1.87868,3.13E+00,0.00E+00
