Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
1.2165e-01,-9.4058e+21,-9.6018e+21
1.2265e-01,-8.3696e+21,-8.7428e+21
1.2364e-01,-7.9436e+21,-8.0222e+21
1.2463e-01,-7.3513e+21,-7.4292e+21
1.2562e-01,-6.8504e+21,-6.9405e+21
1.2662e-01,-6.0925e+21,-6.4938e+21
1.2761e-01,2.1593e+21,-5.9128e+21
1.2860e-01,1.9336e+23,-4.7081e+21
1.2961e-01,1.9138e+23,-5.9443e+21
1.3062e-01,1.9064e+23,-6.5872e+21
1.3162e-01,1.9008e+23,-7.1024e+21
1.3263e-01,1.8948e+23,-7.6521e+21
1.3364e-01,1.8880e+23,-8.2899e+21
1.3465e-01,1.8801e+23,-9.0328e+21
1.3565e-01,1.8711e+23,-9.8851e+21
1.3666e-01,1.8610e+23,-1.0847e+22
1.3767e-01,1.8498e+23,-1.1916e+22
1.3868e-01,1.8376e+23,-1.3090e+22
1.3969e-01,1.8243e+23,-1.4366e+22
1.4069e-01,1.8101e+23,-1.5740e+22
1.4170e-01,1.7950e+23,-1.7208e+22
1.4271e-01,1.7789e+23,-1.8767e+22
1.4372e-01,1.7620e+23,-2.0411e+22
1.4473e-01,1.7443e+23,-2.2137e+22
1.4573e-01,1.7258e+23,-2.3939e+22
1.4674e-01,1.7066e+23,-2.5813e+22
1.4775e-01,1.6867e+23,-2.7753e+22
1.4876e-01,1.6662e+23,-2.9754e+22
1.4976e-01,1.6452e+23,-3.1811e+22
1.5077e-01,1.6236e+23,-3.3917e+22
1.5178e-01,1.6017e+23,-3.6066e+22
1.5279e-01,1.5793e+23,-3.8254e+22
1.5380e-01,1.5567e+23,-4.0473e+22
1.5480e-01,1.5337e+23,-4.2718e+22
1.5581e-01,1.5106e+23,-4.4982e+22
1.5682e-01,1.4874e+23,-4.7258e+22
1.5783e-01,1.4641e+23,-4.9542e+22
1.5884e-01,1.4408e+23,-5.1825e+22
1.5984e-01,1.4176e+23,-5.4103e+22
1.6085e-01,1.3944e+23,-5.6368e+22
1.6186e-01,1.3715e+23,-5.8615e+22
1.6287e-01,1.3488e+23,-6.0836e+22
1.6387e-01,1.3265e+23,-6.3026e+22
1.6488e-01,1.3045e+23,-6.5179e+22
1.6589e-01,1.2829e+23,-6.7288e+22
1.6690e-01,1.2619e+23,-6.9349e+22
1.6791e-01,1.2413e+23,-7.1354e+22
1.6891e-01,1.2214e+23,-7.3299e+22
1.6992e-01,1.2022e+23,-7.5178e+22
1.7093e-01,1.1836e+23,-7.6986e+22
1.7194e-01,1.1659e+23,-7.8716e+22
1.7295e-01,1.1490e+23,-8.0361e+22
1.7395e-01,1.1330e+23,-8.1907e+22
1.7496e-01,1.1184e+23,-8.3325e+22
1.7597e-01,1.1059e+23,-8.4526e+22
1.7698e-01,1.0982e+23,-8.5252e+22
1.7798e-01,1.1031e+23,-8.4714e+22
1.7899e-01,1.1452e+23,-8.0520e+22
1.8000e-01,1.2991e+23,-6.5806e+22
1.8099e-01,-7.6026e+22,-8.3945e+22
1.8198e-01,-9.1315e+22,-9.1756e+22
1.8298e-01,-9.5596e+22,-9.5735e+22
1.8397e-01,-9.8187e+22,-9.8312e+22
1.8496e-01,-1.0021e+23,-1.0033e+23
1.8595e-01,-1.0150e+23,-1.0208e+23
1.8695e-01,-1.0336e+23,-1.0366e+23
1.8794e-01,-1.0451e+23,-1.0512e+23
1.8893e-01,-1.0628e+23,-1.0656e+23
1.8992e-01,-1.0814e+23,-1.0827e+23
1.9092e-01,-1.1117e+23,-1.1124e+23
1.9191e-01,-1.1878e+23,-1.1882e+23
1.9290e-01,-1.4191e+23,-1.4194e+23
1.9391e-01,-2.1158e+23,-2.1163e+23
1.9492e-01,-1.9758e+23,-1.9765e+23
1.9592e-01,-1.9230e+23,-1.9240e+23
1.9693e-01,-1.8940e+23,-1.8952e+23
1.9794e-01,-1.8707e+23,-1.8722e+23
1.9895e-01,-1.8479e+23,-1.8497e+23
1.9995e-01,-1.8242e+23,-1.8262e+23
2.0096e-01,-1.7993e+23,-1.8014e+23
2.0197e-01,-1.7730e+23,-1.7753e+23
2.0298e-01,-1.7454e+23,-1.7479e+23
2.0399e-01,-1.7165e+23,-1.7191e+23
2.0499e-01,-1.6863e+23,-1.6891e+23
2.0600e-01,-1.6550e+23,-1.6579e+23
2.0701e-01,-1.6225e+23,-1.6255e+23
2.0802e-01,-1.5891e+23,-1.5921e+23
2.0903e-01,-1.5546e+23,-1.5578e+23
2.1003e-01,-1.5192e+23,-1.5224e+23
2.1104e-01,-1.4830e+23,-1.4863e+23
2.1205e-01,-1.4460e+23,-1.4493e+23
2.1306e-01,-1.4083e+23,-1.4117e+23
2.1406e-01,-1.3700e+23,-1.3734e+23
2.1507e-01,-1.3311e+23,-1.3345e+23
2.1608e-01,-1.2918e+23,-1.2952e+23
2.1709e-01,-1.2521e+23,-1.2554e+23
2.1810e-01,-1.2120e+23,-1.2154e+23
2.1910e-01,-1.1718e+23,-1.1751e+23
2.2011e-01,-1.1314e+23,-1.1346e+23
2.2112e-01,-1.0909e+23,-1.0941e+23
2.2213e-01,-1.0504e+23,-1.0535e+23
2.2314e-01,-1.0100e+23,-1.0131e+23
2.2414e-01,-9.6980e+22,-9.7279e+22
2.2515e-01,-9.2984e+22,-9.3274e+22
2.2616e-01,-8.9021e+22,-8.9301e+22
2.2717e-01,-8.5098e+22,-8.5368e+22
2.2817e-01,-8.1225e+22,-8.1484e+22
2.2918e-01,-7.7408e+22,-7.7655e+22
2.3019e-01,-7.3655e+22,-7.3890e+22
2.3120e-01,-6.9974e+22,-7.0196e+22
2.3221e-01,-6.6373e+22,-6.6580e+22
2.3321e-01,-6.2857e+22,-6.3050e+22
2.3422e-01,-5.9434e+22,-5.9613e+22
2.3523e-01,-5.6112e+22,-5.6276e+22
2.3624e-01,-5.2897e+22,-5.3045e+22
2.3725e-01,-4.9796e+22,-4.9928e+22
2.3825e-01,-4.6819e+22,-4.6934e+22
2.3926e-01,-4.3979e+22,-4.4077e+22
2.4027e-01,-4.1312e+22,-4.1393e+22
2.4128e-01,-3.8916e+22,-3.8980e+22
2.4228e-01,-3.7100e+22,-3.7146e+22
2.4329e-01,-3.6851e+22,-3.6881e+22
2.4430e-01,-4.1208e+22,-4.1224e+22
2.4529e-01,-1.7933e+22,-1.7956e+22
2.4628e-01,-1.5674e+22,-1.5712e+22
2.4728e-01,-1.4245e+22,-1.4317e+22
2.4827e-01,-1.3082e+22,-1.3234e+22
2.4926e-01,-1.1982e+22,-1.2313e+22
2.5025e-01,-1.1351e+22,-1.1509e+22
2.5125e-01,-1.0507e+22,-1.0809e+22
2.5224e-01,-1.0140e+22,-1.0203e+22
2.5323e-01,-9.6181e+21,-9.6812e+21
2.5422e-01,-9.1401e+21,-9.2129e+21
2.5522e-01,-8.3973e+21,-8.7169e+21
2.5621e-01,-1.5601e+21,-7.9594e+21
2.5720e-01,1.5067e+23,-6.3002e+21
2.5821e-01,1.4854e+23,-7.8378e+21
2.5922e-01,1.4782e+23,-8.4922e+21
2.6022e-01,1.4737e+23,-8.8977e+21
2.6123e-01,1.4696e+23,-9.2752e+21
2.6224e-01,1.4650e+23,-9.6978e+21
2.6325e-01,1.4597e+23,-1.0189e+22
2.6425e-01,1.4537e+23,-1.0755e+22
2.6526e-01,1.4469e+23,-1.1399e+22
2.6627e-01,1.4393e+23,-1.2118e+22
2.6728e-01,1.4310e+23,-1.2911e+22
2.6829e-01,1.4219e+23,-1.3777e+22
2.6929e-01,1.4122e+23,-1.4712e+22
2.7030e-01,1.4018e+23,-1.5714e+22
2.7131e-01,1.3908e+23,-1.6781e+22
2.7232e-01,1.3791e+23,-1.7909e+22
2.7333e-01,1.3669e+23,-1.9096e+22
2.7433e-01,1.3541e+23,-2.0337e+22
2.7534e-01,1.3408e+23,-2.1630e+22
2.7635e-01,1.3270e+23,-2.2970e+22
2.7736e-01,1.3128e+23,-2.4355e+22
2.7836e-01,1.2982e+23,-2.5780e+22
2.7937e-01,1.2832e+23,-2.7242e+22
2.8038e-01,1.2679e+23,-2.8736e+22
2.8139e-01,1.2523e+23,-3.0258e+22
2.8240e-01,1.2364e+23,-3.1803e+22
2.8340e-01,1.2204e+23,-3.3369e+22
2.8441e-01,1.2042e+23,-3.4949e+22
2.8542e-01,1.1879e+23,-3.6541e+22
2.8643e-01,1.1716e+23,-3.8139e+22
2.8744e-01,1.1552e+23,-3.9738e+22
2.8844e-01,1.1389e+23,-4.1336e+22
2.8945e-01,1.1226e+23,-4.2926e+22
2.9046e-01,1.1065e+23,-4.4505e+22
2.9147e-01,1.0905e+23,-4.6068e+22
2.9247e-01,1.0747e+23,-4.7611e+22
2.9348e-01,1.0591e+23,-4.9129e+22
2.9449e-01,1.0438e+23,-5.0619e+22
2.9550e-01,1.0289e+23,-5.2076e+22
2.9651e-01,1.0143e+23,-5.3496e+22
2.9751e-01,1.0002e+23,-5.4876e+22
2.9852e-01,9.8647e+22,-5.6210e+22
2.9953e-01,9.7324e+22,-5.7496e+22
3.0054e-01,9.6055e+22,-5.8729e+22
3.0155e-01,9.4844e+22,-5.9904e+22
3.0255e-01,9.3701e+22,-6.1010e+22
3.0356e-01,9.2649e+22,-6.2026e+22
3.0457e-01,9.1752e+22,-6.2886e+22
3.0558e-01,9.1203e+22,-6.3398e+22
3.0658e-01,9.1589e+22,-6.2975e+22
3.0759e-01,9.4730e+22,-5.9842e+22
3.0860e-01,1.0621e+23,-4.8898e+22
3.0959e-01,-5.6093e+22,-6.2368e+22
3.1058e-01,-6.7822e+22,-6.8170e+22
3.1158e-01,-7.1023e+22,-7.1132e+22
3.1257e-01,-7.2959e+22,-7.3058e+22
3.1356e-01,-7.4477e+22,-7.4575e+22
3.1455e-01,-7.5442e+22,-7.5897e+22
3.1555e-01,-7.6865e+22,-7.7100e+22
3.1654e-01,-7.7738e+22,-7.8222e+22
3.1753e-01,-7.9116e+22,-7.9335e+22
3.1852e-01,-8.0554e+22,-8.0656e+22
3.1952e-01,-8.2870e+22,-8.2923e+22
3.2051e-01,-8.8606e+22,-8.8637e+22
3.2150e-01,-1.9067e+23,-1.9069e+23
3.2251e-01,-1.5820e+23,-1.5824e+23
3.2352e-01,-1.4794e+23,-1.4800e+23
3.2452e-01,-1.4420e+23,-1.4428e+23
3.2553e-01,-1.4225e+23,-1.4235e+23
3.2654e-01,-1.4073e+23,-1.4085e+23
3.2755e-01,-1.3927e+23,-1.3940e+23
3.2855e-01,-1.3774e+23,-1.3790e+23
3.2956e-01,-1.3613e+23,-1.3630e+23
3.3057e-01,-1.3442e+23,-1.3460e+23
3.3158e-01,-1.3262e+23,-1.3282e+23
3.3259e-01,-1.3073e+23,-1.3094e+23
3.3359e-01,-1.2875e+23,-1.2897e+23
3.3460e-01,-1.2669e+23,-1.2692e+23
3.3561e-01,-1.2455e+23,-1.2479e+23
3.3662e-01,-1.2233e+23,-1.2258e+23
3.3763e-01,-1.2005e+23,-1.2030e+23
3.3863e-01,-1.1770e+23,-1.1795e+23
3.3964e-01,-1.1528e+23,-1.1555e+23
3.4065e-01,-1.1282e+23,-1.1308e+23
3.4166e-01,-1.1030e+23,-1.1056e+23
3.4266e-01,-1.0773e+23,-1.0800e+23
3.4367e-01,-1.0512e+23,-1.0539e+23
3.4468e-01,-1.0248e+23,-1.0275e+23
3.4569e-01,-9.9802e+22,-1.0007e+23
3.4670e-01,-9.7101e+22,-9.7370e+22
3.4770e-01,-9.4380e+22,-9.4646e+22
3.4871e-01,-9.1645e+22,-9.1908e+22
3.4972e-01,-8.8900e+22,-8.9159e+22
3.5073e-01,-8.6151e+22,-8.6405e+22
3.5174e-01,-8.3404e+22,-8.3653e+22
3.5274e-01,-8.0664e+22,-8.0906e+22
3.5375e-01,-7.7936e+22,-7.8172e+22
3.5476e-01,-7.5227e+22,-7.5455e+22
3.5577e-01,-7.2541e+22,-7.2761e+22
3.5677e-01,-6.9884e+22,-7.0095e+22
3.5778e-01,-6.7261e+22,-6.7463e+22
3.5879e-01,-6.4677e+22,-6.4869e+22
3.5980e-01,-6.2138e+22,-6.2320e+22
3.6081e-01,-5.9648e+22,-5.9819e+22
3.6181e-01,-5.7213e+22,-5.7373e+22
3.6282e-01,-5.4837e+22,-5.4985e+22
3.6383e-01,-5.2526e+22,-5.2662e+22
3.6484e-01,-5.0284e+22,-5.0407e+22
3.6585e-01,-4.8116e+22,-4.8226e+22
3.6685e-01,-4.6030e+22,-4.6126e+22
3.6786e-01,-4.4039e+22,-4.4121e+22
3.6887e-01,-4.2176e+22,-4.2244e+22
3.6988e-01,-4.0546e+22,-4.0599e+22
3.7088e-01,-3.9484e+22,-3.9523e+22
3.7189e-01,-4.0095e+22,-4.0120e+22
3.7290e-01,-4.5871e+22,-4.5884e+22
3.7389e-01,-2.0433e+22,-2.0453e+22
3.7488e-01,-1.8287e+22,-1.8319e+22
3.7588e-01,-1.7025e+22,-1.7087e+22
3.7687e-01,-1.6030e+22,-1.6162e+22
3.7786e-01,-1.5087e+22,-1.5371e+22
3.7885e-01,-1.4530e+22,-1.4667e+22
3.7985e-01,-1.3771e+22,-1.4032e+22
3.8084e-01,-1.3403e+22,-1.3458e+22
3.8183e-01,-1.2875e+22,-1.2930e+22
3.8282e-01,-1.2348e+22,-1.2410e+22
3.8382e-01,-1.1526e+22,-1.1790e+22
3.8481e-01,-5.5416e+21,-1.0758e+22
3.8580e-01,1.1940e+23,-8.4681e+21
3.8681e-01,1.1696e+23,-1.0423e+22
3.8782e-01,1.1620e+23,-1.1120e+22
3.8882e-01,1.1587e+23,-1.1424e+22
3.8983e-01,1.1563e+23,-1.1636e+22
3.9084e-01,1.1538e+23,-1.1854e+22
3.9185e-01,1.1509e+23,-1.2110e+22
3.9285e-01,1.1476e+23,-1.2415e+22
3.9386e-01,1.1437e+23,-1.2772e+22
3.9487e-01,1.1393e+23,-1.3180e+22
3.9588e-01,1.1344e+23,-1.3639e+22
3.9689e-01,1.1290e+23,-1.4147e+22
3.9789e-01,1.1231e+23,-1.4704e+22
3.9890e-01,1.1168e+23,-1.5307e+22
3.9991e-01,1.1100e+23,-1.5955e+22
4.0092e-01,1.1028e+23,-1.6647e+22
4.0193e-01,1.0951e+23,-1.7380e+22
4.0293e-01,1.0871e+23,-1.8152e+22
4.0394e-01,1.0787e+23,-1.8962e+22
4.0495e-01,1.0700e+23,-1.9806e+22
4.0596e-01,1.0609e+23,-2.0683e+22
4.0696e-01,1.0515e+23,-2.1590e+22
4.0797e-01,1.0419e+23,-2.2525e+22
4.0898e-01,1.0320e+23,-2.3484e+22
4.0999e-01,1.0218e+23,-2.4466e+22
4.1100e-01,1.0115e+23,-2.5467e+22
4.1200e-01,1.0010e+23,-2.6486e+22
4.1301e-01,9.9041e+22,-2.7518e+22
4.1402e-01,9.7968e+22,-2.8561e+22
4.1503e-01,9.6886e+22,-2.9612e+22
4.1604e-01,9.5799e+22,-3.0669e+22
4.1704e-01,9.4710e+22,-3.1728e+22
4.1805e-01,9.3622e+22,-3.2786e+22
4.1906e-01,9.2537e+22,-3.3841e+22
4.2007e-01,9.1459e+22,-3.4889e+22
4.2107e-01,9.0391e+22,-3.5927e+22
4.2208e-01,8.9334e+22,-3.6954e+22
4.2309e-01,8.8293e+22,-3.7965e+22
4.2410e-01,8.7270e+22,-3.8958e+22
4.2511e-01,8.6268e+22,-3.9930e+22
4.2611e-01,8.5289e+22,-4.0879e+22
4.2712e-01,8.4337e+22,-4.1802e+22
4.2813e-01,8.3413e+22,-4.2695e+22
4.2914e-01,8.2522e+22,-4.3557e+22
4.3015e-01,8.1666e+22,-4.4383e+22
4.3115e-01,8.0853e+22,-4.5166e+22
4.3216e-01,8.0100e+22,-4.5889e+22
4.3317e-01,7.9454e+22,-4.6505e+22
4.3418e-01,7.9057e+22,-4.6872e+22
4.3518e-01,7.9344e+22,-4.6556e+22
4.3619e-01,8.1663e+22,-4.4243e+22
4.3720e-01,9.0187e+22,-3.6160e+22
4.3819e-01,-4.1028e+22,-4.6136e+22
4.3918e-01,-5.0173e+22,-5.0454e+22
4.4018e-01,-5.2594e+22,-5.2681e+22
4.4117e-01,-5.4072e+22,-5.4150e+22
4.4216e-01,-5.5248e+22,-5.5326e+22
4.4315e-01,-5.6007e+22,-5.6366e+22
4.4415e-01,-5.7143e+22,-5.7328e+22
4.4514e-01,-5.7856e+22,-5.8239e+22
4.4613e-01,-5.8980e+22,-5.9154e+22
4.4712e-01,-6.0154e+22,-6.0234e+22
4.4812e-01,-6.1993e+22,-6.2034e+22
4.4911e-01,-6.6408e+22,-6.6433e+22
4.5010e-01,-1.4319e+23,-1.4321e+23
4.5111e-01,-1.1907e+23,-1.1910e+23
4.5212e-01,-1.1160e+23,-1.1165e+23
4.5312e-01,-1.0904e+23,-1.0911e+23
4.5413e-01,-1.0785e+23,-1.0793e+23
4.5514e-01,-1.0700e+23,-1.0710e+23
4.5615e-01,-1.0620e+23,-1.0631e+23
4.5715e-01,-1.0536e+23,-1.0548e+23
4.5816e-01,-1.0447e+23,-1.0460e+23
4.5917e-01,-1.0351e+23,-1.0366e+23
4.6018e-01,-1.0250e+23,-1.0266e+23
4.6119e-01,-1.0142e+23,-1.0159e+23
4.6219e-01,-1.0029e+23,-1.0047e+23
4.6320e-01,-9.9102e+22,-9.9289e+22
4.6421e-01,-9.7861e+22,-9.8055e+22
4.6522e-01,-9.6568e+22,-9.6769e+22
4.6623e-01,-9.5228e+22,-9.5435e+22
4.6723e-01,-9.3841e+22,-9.4053e+22
4.6824e-01,-9.2412e+22,-9.2628e+22
4.6925e-01,-9.0943e+22,-9.1163e+22
4.7026e-01,-8.9436e+22,-8.9659e+22
4.7126e-01,-8.7896e+22,-8.8121e+22
4.7227e-01,-8.6324e+22,-8.6550e+22
4.7328e-01,-8.4725e+22,-8.4952e+22
4.7429e-01,-8.3101e+22,-8.3327e+22
4.7530e-01,-8.1455e+22,-8.1681e+22
4.7630e-01,-7.9791e+22,-8.0015e+22
4.7731e-01,-7.8112e+22,-7.8334e+22
4.7832e-01,-7.6421e+22,-7.6641e+22
4.7933e-01,-7.4723e+22,-7.4938e+22
4.8034e-01,-7.3019e+22,-7.3231e+22
4.8134e-01,-7.1314e+22,-7.1521e+22
4.8235e-01,-6.9611e+22,-6.9813e+22
4.8336e-01,-6.7913e+22,-6.8109e+22
4.8437e-01,-6.6225e+22,-6.6414e+22
4.8537e-01,-6.4548e+22,-6.4730e+22
4.8638e-01,-6.2887e+22,-6.3062e+22
4.8739e-01,-6.1244e+22,-6.1411e+22
4.8840e-01,-5.9624e+22,-5.9782e+22
4.8941e-01,-5.8029e+22,-5.8178e+22
4.9041e-01,-5.6463e+22,-5.6602e+22
4.9142e-01,-5.4928e+22,-5.5058e+22
4.9243e-01,-5.3428e+22,-5.3547e+22
4.9344e-01,-5.1966e+22,-5.2075e+22
4.9445e-01,-5.0546e+22,-5.0644e+22
4.9545e-01,-4.9174e+22,-4.9260e+22
4.9646e-01,-4.7863e+22,-4.7936e+22
4.9747e-01,-4.6649e+22,-4.6709e+22
4.9848e-01,-4.5649e+22,-4.5697e+22
4.9948e-01,-4.5256e+22,-4.5291e+22
5.0049e-01,-4.6787e+22,-4.6810e+22
5.0150e-01,-5.4488e+22,-5.4500e+22
5.0249e-01,-2.4700e+22,-2.4718e+22
5.0348e-01,-2.2487e+22,-2.2517e+22
5.0448e-01,-2.1290e+22,-2.1347e+22
5.0547e-01,-2.0382e+22,-2.0504e+22
5.0646e-01,-1.9520e+22,-1.9782e+22
5.0745e-01,-1.8996e+22,-1.9123e+22
5.0845e-01,-1.8263e+22,-1.8505e+22
5.0944e-01,-1.7868e+22,-1.7919e+22
5.1043e-01,-1.7296e+22,-1.7347e+22
5.1142e-01,-1.6679e+22,-1.6737e+22
5.1242e-01,-1.5713e+22,-1.5945e+22
5.1341e-01,-1.0053e+22,-1.4552e+22
5.1440e-01,9.8719e+22,-1.1425e+22
5.1541e-01,9.5744e+22,-1.3986e+22
5.1642e-01,9.4878e+22,-1.4799e+22
5.1742e-01,9.4613e+22,-1.5039e+22
5.1843e-01,9.4514e+22,-1.5112e+22
5.1944e-01,9.4447e+22,-1.5153e+22
5.2045e-01,9.4368e+22,-1.5205e+22
5.2145e-01,9.4263e+22,-1.5284e+22
5.2246e-01,9.4127e+22,-1.5393e+22
5.2347e-01,9.3960e+22,-1.5533e+22
5.2448e-01,9.3761e+22,-1.5706e+22
5.2549e-01,9.3531e+22,-1.5909e+22
5.2649e-01,9.3270e+22,-1.6144e+22
5.2750e-01,9.2978e+22,-1.6409e+22
5.2851e-01,9.2657e+22,-1.6703e+22
5.2952e-01,9.2308e+22,-1.7026e+22
5.3053e-01,9.1931e+22,-1.7377e+22
5.3153e-01,9.1527e+22,-1.7754e+22
5.3254e-01,9.1097e+22,-1.8158e+22
5.3355e-01,9.0642e+22,-1.8586e+22
5.3456e-01,9.0165e+22,-1.9037e+22
5.3556e-01,8.9664e+22,-1.9511e+22
5.3657e-01,8.9144e+22,-2.0006e+22
5.3758e-01,8.8603e+22,-2.0520e+22
5.3859e-01,8.8045e+22,-2.1052e+22
5.3960e-01,8.7470e+22,-2.1601e+22
5.4060e-01,8.6880e+22,-2.2165e+22
5.4161e-01,8.6276e+22,-2.2742e+22
5.4262e-01,8.5661e+22,-2.3331e+22
5.4363e-01,8.5036e+22,-2.3931e+22
5.4464e-01,8.4401e+22,-2.4539e+22
